obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""91.6429076""","=""0.0000008""","=""""","=""109119.1917""","=""""","=""2.3409e-04""","=""5.7769e-04""","=""3.4858e-03""","=""-2.93727""",AAA,"=""0.0000000000""","=""[109119.1917]""","=""1s""","=""2S""","=""1/2""","=""14""","=""""","=""""",2,392,,"=""T8637""","=""""",
"=""""","=""""","=""91.7180514""","=""0.0000008""","=""""","=""109029.7913""","=""""","=""3.3927e-04""","=""7.2310e-04""","=""4.3668e-03""","=""-2.83977""",AAA,"=""0.0000000000""","=""[109029.7913]""","=""1s""","=""2S""","=""1/2""","=""13""","=""""","=""""",2,338,,"=""T8637""","=""""",
"=""91.8125""","=""0.0013""","=""91.8129300""","=""0.0000004""","=""-0.0004""","=""108917.6""","=""5600""","=""5.0659e-04""","=""9.2190e-04""","=""5.5730e-03""","=""-2.73429""",AAA,"=""0.0000000000""","=""108917.1209""","=""1s""","=""2S""","=""1/2""","=""12""","=""""","=""""",2,288,,"=""T8637""","=""L8834""",
"=""91.81293175""","=""0.00000003""","=""91.81293175""","=""0.00000003""","=""0.00000000""","=""108917.11886""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108917.11886]""","=""1s""","=""2S""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""91.8130""","=""0.0020""","=""91.81293046""","=""0.00000003""","=""0.0001""","=""108917.0""","=""""","=""2.4317e-02""","=""6.1461e-04""","=""3.7155e-03""","=""-2.91037""",AAA,"=""0.0000000000""","=""[108917.12039]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""91.8130""","=""0.0020""","=""91.81293188""","=""0.00000003""","=""0.0001""","=""108917.0""","=""""","=""2.4316e-02""","=""3.0729e-04""","=""1.8577e-03""","=""-3.21142""",AAA,"=""0.0000000000""","=""[108917.11870]""","=""1s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""91.9342""","=""0.0014""","=""91.9351334""","=""0.0000005""","=""-0.0009""","=""108773.4""","=""6100""","=""7.8340e-04""","=""1.2011e-03""","=""7.2707e-03""","=""-2.61938""",AAA,"=""0.0000000000""","=""108772.3445""","=""1s""","=""2S""","=""1/2""","=""11""","=""""","=""""",2,242,,"=""T8637""","=""L8834""",
"=""91.9349""","=""0.0020""","=""91.93513419""","=""0.00000003""","=""-0.0002""","=""108772.6""","=""""","=""3.1597e-02""","=""8.0074e-04""","=""4.8471e-03""","=""-2.79548""",AAA,"=""0.0000000000""","=""[108772.34355]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""91.9349""","=""0.0020""","=""91.93513605""","=""0.00000003""","=""-0.0002""","=""108772.6""","=""""","=""3.1597e-02""","=""4.0037e-04""","=""2.4235e-03""","=""-3.09651""",AAA,"=""0.0000000000""","=""[108772.34135]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""91.935133578""","=""0.000000020""","=""91.935133577""","=""0.000000019""","=""0.000000001""","=""108772.34427""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108772.344270]""","=""1s""","=""2S""","=""1/2""","=""11d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L15291c37""",
"=""91.93513586""","=""0.00000003""","=""91.93513586""","=""0.00000003""","=""0.00000000""","=""108772.34157""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108772.34157]""","=""1s""","=""2S""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""92.0947""","=""0.0014""","=""92.0963006""","=""0.0000007""","=""-0.0016""","=""108583.9""","=""7400""","=""1.2631e-03""","=""1.6062e-03""","=""9.7396e-03""","=""-2.49318""",AAA,"=""0.0000000000""","=""108581.9945""","=""1s""","=""2S""","=""1/2""","=""10""","=""""","=""""",2,200,,"=""T8637""","=""L8834""",
"=""92.09630369""","=""0.00000003""","=""92.09630369""","=""0.00000003""","="" 0.00000000""","=""108581.99080""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108581.99080]""","=""1s""","=""2S""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""92.0970""","=""0.0020""","=""92.09630145""","=""0.00000003""","=""0.0007""","=""108581.1""","=""""","=""4.2105e-02""","=""1.0708e-03""","=""6.4931e-03""","=""-2.66927""",AAA,"=""0.0000000000""","=""[108581.99344]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""92.0970""","=""0.0020""","=""92.09630394""","=""0.00000003""","=""0.0007""","=""108581.1""","=""""","=""4.2104e-02""","=""5.3538e-04""","=""3.2465e-03""","=""-2.97031""",AAA,"=""0.0000000000""","=""[108581.99051]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""92.3148""","=""0.0014""","=""92.3150275""","=""0.0000009""","=""-0.0002""","=""108325.0""","=""12000""","=""2.1425e-03""","=""2.2172e-03""","=""1.3477e-02""","=""-2.35316""",AAA,"=""0.0000000000""","=""108324.7253""","=""1s""","=""2S""","=""1/2""","=""9""","=""""","=""""",2,162,,"=""T8637""","=""L8834""",
"=""92.315027375""","=""0.000000020""","=""92.315027375""","=""0.000000017""","=""0.000000000""","=""108324.725501""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108324.725501]""","=""1s""","=""2S""","=""1/2""","=""9d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L15291c37""",
"=""92.31503159""","=""0.00000003""","=""92.31503159""","=""0.00000003""","="" 0.00000000""","=""108324.72055""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[108324.72055]""","=""1s""","=""2S""","=""1/2""","=""9s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""92.3151""","=""0.0020""","=""92.31502850""","=""0.00000003""","=""0.0001""","=""108324.6""","=""""","=""5.7848e-02""","=""1.4781e-03""","=""8.9845e-03""","=""-2.52925""",AAA,"=""0.0000000000""","=""[108324.72418]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""92.3151""","=""0.0020""","=""92.31503193""","=""0.00000003""","=""0.0001""","=""108324.6""","=""""","=""5.7847e-02""","=""7.3906e-04""","=""4.4922e-03""","=""-2.83029""",AAA,"=""0.0000000000""","=""[108324.72016]""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""""","=""""","=""92.6225665291""","=""0.0000000003""","=""""","=""107965.0497145""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""107965.0497145""","=""1s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
