element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,1,"=""467.4848""","=""""","=""467.48486""","=""0.00003""","=""-0.0001""","=""21385.08""","=""2000""","=""1.33e-01""","=""5.8e-02""","=""5.4e+00""","=""-0.46""",C+,"=""530.351""","=""21915.432""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d.5s.(3D).5p""","=""z 2F*""","=""7/2""",6,8,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""467.83566""","=""""","=""467.83564""","=""0.00009""","=""0.00002""","=""21369.046""","=""60""","=""""","=""""","=""""","=""""",,"=""19147.983""","=""40517.030""","=""4d.5s.(3D).5p""","=""z 4P*""","=""5/2""","=""4d.5s.(3D).5d""","=""f 4P""","=""5/2""",6,6,,"=""""","=""L7610,L3475""",
Y,2,"=""468.2321""","=""""","=""468.2324+""","=""""","=""-0.0003""","=""21350.95""","=""260""","=""1.88e-02""","=""6.20e-03""","=""4.78e-01""","=""-1.509""",A,"=""3296.180""","=""24647.121""","=""4d.5s""","=""a 1D""","=""2""","=""5s.5p""","=""z 3P*""","=""2""",5,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""468.9767""","=""""","=""468.97666""","=""0.00009""","=""0.0000""","=""21317.06""","=""85""","=""3.39e-01""","=""1.12e-01""","=""1.04e+01""","=""-0.174""",A,"=""16158.865""","=""37475.922""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""""","=""""","=""469.45524""","=""0.00010""","=""""","=""21295.326""","=""""","=""5.0e-02""","=""3.3e-02""","=""1.03e+00""","=""-1.18""",C+,"=""24698.850""","=""45994.176""","=""4d.5s.(3D).5p""","=""y 2P*""","=""1/2""","=""5p2.(3P).4d?""","=""f 2P""","=""3/2""",2,4,,"=""T9421""","=""""",
Y,1,"=""469.6799""","=""""","=""469.67994""","=""0.00018""","="" 0.0000""","=""21285.14""","=""180""","=""""","=""""","=""""","=""""",,"=""15994.045""","=""37279.183""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(1D).5p""","=""w 2F*""","=""5/2""",4,6,,"=""""","=""L7610,L3475""",
Y,1,"=""470.88513""","=""""","=""470.88512""","=""0.00006""","=""0.00001""","=""21230.661""","=""35""","=""9.2e-02""","=""6.1e-02""","=""1.90e+00""","=""-0.91""",B+,"=""15221.633""","=""36452.295""","=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",2,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""472.58417""","=""""","=""472.58421""","=""0.00007""","=""-0.00004""","=""21154.334""","=""60""","=""1.38e-01""","=""4.6e-02""","=""2.89e+00""","=""-0.73""",B+,"=""15994.045""","=""37148.377""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""472.85140""","=""""","=""472.85160""","=""0.00007""","=""-0.00020""","=""21142.379""","=""170""","=""""","=""""","=""""","=""""",,"=""10529.169""","=""31671.539""","=""5s2.5p""","=""z 2P*""","=""1/2""","=""5s2.6s""","=""e 2S""","=""1/2""",2,2,,"=""""","=""L7610,L3475""",
Y,1,"=""473.22796""","=""""","=""473.22799""","=""0.00005""","=""-0.00003""","=""21125.555""","=""51""","=""2.28e-01""","=""5.1e-02""","=""4.8e+00""","=""-0.51""",B+,"=""15326.741""","=""36452.295""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""473.23989""","=""""","=""473.23993""","=""0.00005""","=""-0.00004""","=""21125.023""","=""60h""","=""""","=""""","=""""","=""""",,"=""16158.865""","=""37283.886""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""5s2.(1S).6p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L7610,L3475""",
Y,1,"=""473.27542""","=""""","=""473.27558""","=""0.00005""","=""-0.00016""","=""21123.437""","=""1""","=""1.47e-02""","=""4.9e-03""","=""3.08e-01""","=""-1.70""",B+,"=""15328.865""","=""36452.295""","=""4d2.(3P).5s""","=""a 4P""","=""3/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",4,4,,"=""T9421""","=""L7610""",
Y,3,"=""473.762""","=""""","=""""","=""""","=""""","=""21101.7""","=""2000c""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L2592""",
Y,1,"=""474.1401""","=""""","=""474.14006""","=""0.00007""","=""0.0000""","=""21084.92""","=""85""","=""""","=""""","=""""","=""""",,"=""16158.865""","=""37243.782""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2P*""","=""3/2""",6,4,,"=""""","=""L7610,L3475""",
Y,1,"=""475.27900""","=""""","=""475.27870""","=""0.00007""","=""0.00030""","=""21034.391""","=""160""","=""3.31e-01""","=""1.49e-01""","=""1.40e+01""","=""-0.05""",B+,"=""15326.741""","=""36361.145""","=""4d2.(3F).5s""","=""a 2F""","=""5/2""","=""4d2.(3P).5p""","=""x 4D*""","=""7/2""",6,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""476.0978""","=""""","=""476.09753""","=""0.00003""","=""0.0003""","=""20998.22""","=""410""","=""3.5e-02""","=""1.19e-02""","=""1.12e+00""","=""-1.15""",C+,"=""530.351""","=""21528.579""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d.5s.(3D).5p""","=""z 2F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""476.2955""","=""""","=""476.29523""","=""0.00007""","=""0.0003""","=""20989.50""","=""4""","=""3.8e-02""","=""8.7e-03""","=""8.2e-01""","=""-1.28""",B,"=""16158.865""","=""37148.377""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3P).5p""","=""y 4P*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""476.60778""","=""""","=""476.60746""","=""0.00005""","=""0.00032""","=""20975.748""","=""3""","=""2.28e-02""","=""5.2e-03""","=""4.9e-01""","=""-1.51""",B,"=""15476.533""","=""36452.295""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""478.0163""","=""""","=""478.01647""","=""0.00006""","=""-0.0002""","=""20913.94""","=""17""","=""7.6e-02""","=""5.2e-02""","=""1.64e+00""","=""-0.98""",B+,"=""15221.633""","=""36135.567""","=""4d2.(3P).5s""","=""a 4P""","=""1/2""","=""4d2.(3P).5p""","=""z 4S*""","=""3/2""",2,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""478.10330""","=""""","=""478.10305""","=""0.00009""","=""0.00025""","=""20910.136""","=""120""","=""1.01e-01""","=""4.3e-02""","=""5.5e+00""","=""-0.46""",B,"=""11277.928""","=""32188.075""","=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""4d2.(3F).5p""","=""y 4F*""","=""9/2""",8,10,,"=""T4373""","=""L7610,L3475""",
