element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fr,87,"=""""","=""""","=""23.00""","=""0.05""","=""""","=""434800""","=""""","=""""","=""""","=""""","=""""",,"=""(693154200)""","=""(693589000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fr,1,"=""308.6287""","=""0.0005""","=""308.6287""","=""0.0005""","=""0.0000""","=""32391.99""","=""""","=""8.00e-05""","=""2.29e-05""","=""4.65e-04""","=""-4.34""",,"=""0.000""","=""32391.99""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""308.6843""","=""0.0005""","=""308.6843""","=""0.0005""","="" 0.0000""","=""32386.15""","=""""","=""8.01e-05""","=""1.14e-05""","=""2.33e-04""","=""-4.64""",,"=""0.000""","=""32386.15""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""309.2514""","=""0.0005""","=""309.2514""","=""0.0005""","=""0.0000""","=""32326.77""","=""""","=""1.00e-04""","=""2.87e-05""","=""5.84e-04""","=""-4.24""",,"=""0.000""","=""32326.77""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""309.3197""","=""0.0005""","=""309.3197""","=""0.0005""","=""0.0000""","=""32319.63""","=""""","=""9.82e-05""","=""1.41e-05""","=""2.87e-04""","=""-4.55""",,"=""0.000""","=""32319.63""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""310.0211""","=""0.0005""","=""310.0211""","=""0.0005""","="" 0.0000""","=""32246.51""","=""""","=""1.23e-04""","=""3.55e-05""","=""7.24e-04""","=""-4.15""",,"=""0.000""","=""32246.51""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""310.1063""","=""0.0005""","=""310.1063""","=""0.0005""","="" 0.0000""","=""32237.65""","=""""","=""1.23e-04""","=""1.77e-05""","=""3.62e-04""","=""-4.45""",,"=""0.000""","=""32237.65""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""310.9885""","=""0.0005""","=""310.9885""","=""0.0005""","="" 0.0000""","=""32146.20""","=""""","=""1.57e-04""","=""4.56e-05""","=""9.33e-04""","=""-4.04""",,"=""0.000""","=""32146.20""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""311.0966""","=""0.0005""","=""311.0966""","=""0.0005""","="" 0.0000""","=""32135.03""","=""""","=""1.57e-04""","=""2.28e-05""","=""4.67e-04""","=""-4.34""",,"=""0.000""","=""32135.03""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""312.2284""","=""0.0005""","=""312.2284""","=""0.0005""","="" 0.0000""","=""32018.55""","=""""","=""2.10e-04""","=""6.14e-05""","=""1.26e-03""","=""-3.91""",,"=""0.000""","=""32018.55""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""312.3684""","=""0.0005""","=""312.3684""","=""0.0005""","="" 0.0000""","=""32004.20""","=""""","=""2.11e-04""","=""3.09e-05""","=""6.35e-04""","=""-4.21""",,"=""0.000""","=""32004.20""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""313.8547""","=""0.0005""","=""313.8547""","=""0.0005""","=""0.0000""","=""31852.65""","=""""","=""2.81e-04""","=""8.30e-05""","=""1.72e-03""","=""-3.78""",,"=""0.000""","=""31852.65""","=""7s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""314.0409""","=""0.0005""","=""314.0409""","=""0.0005""","="" 0.0000""","=""31833.76""","=""""","=""2.81e-04""","=""4.16e-05""","=""8.60e-04""","=""-4.08""",,"=""0.000""","=""31833.76""","=""7s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""316.0492""","=""0.0005""","=""316.0492""","=""0.0005""","=""0.0000""","=""31631.49""","=""""","=""4.00e-04""","=""1.20e-04""","=""2.50e-03""","=""-3.62""",,"=""0.000""","=""31631.49""","=""7s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""316.3046""","=""0.0005""","=""316.3046""","=""0.0005""","=""0.0000""","=""31605.95""","=""""","=""3.91e-04""","=""5.87e-05""","=""1.22e-03""","=""-3.93""",,"=""0.000""","=""31605.95""","=""7s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""319.1165""","=""0.0005""","=""319.1165""","=""0.0005""","="" 0.0000""","=""31327.46""","=""""","=""5.81e-04""","=""1.78e-04""","=""3.73e-03""","=""-3.45""",,"=""0.000""","=""31327.46""","=""7s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""319.4810""","=""0.0005""","=""319.4810""","=""0.0005""","="" 0.0000""","=""31291.72""","=""""","=""5.81e-04""","=""8.90e-05""","=""1.87e-03""","=""-3.75""",,"=""0.000""","=""31291.72""","=""7s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""323.6029""","=""0.0005""","=""323.6029""","=""0.0005""","=""0.0000""","=""30893.16""","=""""","=""9.16e-04""","=""2.88e-04""","=""6.13e-03""","=""-3.24""",,"=""0.000""","=""30893.16""","=""7s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""324.1504""","=""0.0005""","=""324.1504""","=""0.0005""","=""0.0000""","=""30840.98""","=""""","=""9.15e-04""","=""1.44e-04""","=""3.08e-03""","=""-3.54""",,"=""0.000""","=""30840.98""","=""7s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""330.5752""","=""0.0005""","=""330.5752""","=""0.0005""","=""0.0000""","=""30241.60""","=""""","=""1.56e-03""","=""5.11e-04""","=""1.11e-02""","=""-2.99""",,"=""0.000""","=""30241.60""","=""7s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""331.4578""","=""0.0006""","=""331.4578""","=""0.0006""","="" 0.0000""","=""30161.07""","=""""","=""1.56e-03""","=""2.57e-04""","=""5.61e-03""","=""-3.29""",,"=""0.000""","=""30161.07""","=""7s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""342.3900""","=""0.0006""","=""342.3900""","=""0.0006""","=""0.0000""","=""29198.09""","=""""","=""3.04e-03""","=""1.07e-03""","=""2.41e-02""","=""-2.67""",,"=""0.000""","=""29198.09""","=""7s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""343.9675""","=""0.0006""","=""343.9675""","=""0.0006""","="" 0.0000""","=""29064.18""","=""""","=""3.02e-03""","=""5.36e-04""","=""1.21e-02""","=""-2.97""",,"=""0.000""","=""29064.18""","=""7s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""365.3102""","=""0.0007""","=""365.3102""","=""0.0007""","=""0.0000""","=""27366.20""","=""""","=""7.52e-03""","=""3.01e-03""","=""7.24e-02""","=""-2.22""",,"=""0.000""","=""27366.20""","=""7s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
Fr,1,"=""368.6510""","=""0.0007""","=""368.6510""","=""0.0007""","=""0.0000""","=""27118.21""","=""""","=""7.24e-03""","=""1.48e-03""","=""3.58e-02""","=""-2.53""",,"=""0.000""","=""27118.21""","=""7s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
Fr,1,"=""422.5655""","=""0.0009""","=""422.56552""","=""0.00008""","="" 0.0000""","=""23658.31""","=""""","=""2.82e-02""","=""1.51e-02""","=""4.20e-01""","=""-1.52""",,"=""0.000""","=""23658.306""","=""7s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
