element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
C,3,"=""""","=""""","=""328.883""","=""""","=""""","=""30397""","=""""","=""5.81e-04""","=""5.66e-05""","=""3.06e-03""","=""-3.549""",C,"=""340101.84""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""2""","=""1s2.2s.8d""","=""3D""","=""1""",5,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""329.162""","=""""","=""""","=""30371""","=""""","=""1.57e-02""","=""4.25e-03""","=""1.38e-01""","=""-1.894""",B,"=""340127.53""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""2""",3,5,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""329.162""","=""""","=""""","=""30371""","=""""","=""8.70e-03""","=""1.41e-03""","=""4.60e-02""","=""-2.372""",B,"=""340127.53""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""1""","=""1s2.2s.8d""","=""3D""","=""1""",3,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""329.317""","=""""","=""""","=""30357""","=""""","=""1.16e-02""","=""5.66e-03""","=""6.14e-02""","=""-2.247""",B,"=""340141.83""","=""370499""","=""1s2.2p.(2P*).3d""","=""3P*""","=""0""","=""1s2.2s.8d""","=""3D""","=""1""",1,3,,"=""T5633LS""","=""""",
C,2,"=""""","=""""","=""329.8064""","=""0.0012""","=""""","=""30312.09""","=""""","=""1.8e-04""","=""4.3e-05""","=""1.9e-03""","=""-3.76""",C,"=""168124.17""","=""198436.26""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""329.8086""","=""0.0012""","=""""","=""30311.89""","=""""","=""2.47e-03""","=""4.04e-04""","=""2.63e-02""","=""-2.62""",B,"=""168124.37""","=""198436.26""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""329.9237""","=""0.0012""","=""""","=""30301.31""","=""""","=""2.38e-03""","=""3.89e-04""","=""1.69e-02""","=""-2.81""",B,"=""168124.17""","=""198425.48""","=""2s2.4d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""329.9259""","=""0.0012""","=""""","=""30301.11""","=""""","=""2.6e-04""","=""2.9e-05""","=""1.9e-03""","=""-3.76""",C,"=""168124.37""","=""198425.48""","=""2s2.4d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",6,4,,"=""T5109LS""","=""""",
C,2,"=""335.3302""","=""0.0009""","=""335.3298""","=""0.0007""","=""0.0004""","=""29812.78""","=""21h""","=""7.4e-02""","=""8.3e-03""","=""5.5e-01""","=""-1.30""",C,"=""198844.00""","=""228656.82""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).5p""","=""4S""","=""3/2""",6,4,,"=""T10528""","=""L1176""",
C,2,"=""335.5690""","=""0.0009""","=""335.5692""","=""0.0007""","=""-0.0002""","=""29791.57""","=""16h""","=""""","=""""","=""""","=""""",,"=""198865.27""","=""228656.82""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).5p""","=""4S""","=""3/2""",4,4,,"=""""","=""L1176""",
C,2,"=""335.719""","=""0.004""","=""335.7243""","=""0.0007""","=""-0.005""","=""29778.3""","=""13h""","=""""","=""""","=""""","=""""",,"=""198879.03""","=""228656.82""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).5p""","=""4S""","=""3/2""",2,4,,"=""""","=""L1176""",
C,3,"=""""","=""""","=""335.7787""","=""""","=""""","=""29772.96""","=""""","=""2.04e-03""","=""5.75e-04""","=""1.91e-02""","=""-2.763""",B,"=""327278.27""","=""357051.23""","=""1s2.2p.(2P*).3p""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""2""",3,5,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""335.7907""","=""""","=""""","=""29771.90""","=""""","=""2.04e-03""","=""3.45e-04""","=""1.14e-02""","=""-2.985""",B,"=""327278.27""","=""357050.17""","=""1s2.2p.(2P*).3p""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""1""",3,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""335.7996""","=""""","=""""","=""29771.11""","=""""","=""2.04e-03""","=""1.15e-04""","=""3.82e-03""","=""-3.462""",C,"=""327278.27""","=""357049.38""","=""1s2.2p.(2P*).3p""","=""3S""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0""",3,1,,"=""T5633LS""","=""""",
