element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pa,89,"=""""","=""""","=""0.0138300""","=""0.0000005""","=""""","=""723070000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(757252000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pa,89,"=""""","=""""","=""0.0138889""","=""0.0000004""","=""""","=""720002000""","=""""","=""""","=""""","=""""","=""""",,"=""[34184000]""","=""(754186000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pa,91,"=""""","=""""","=""0.061071""","=""0.000008""","=""""","=""163743000""","=""""","=""4.4194e+07""","=""4.9422e-01""","=""1.9873e-03""","=""-0.00505""",AA,"=""(767817000)""","=""(931560100)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.061277""","=""0.000009""","=""""","=""163194000""","=""""","=""1.1493e+07""","=""1.2939e-01""","=""5.2204e-04""","=""-0.58707""",AA,"=""(768381000)""","=""(931575000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.065136""","=""0.000013""","=""""","=""153520000""","=""""","=""2.0110e+06""","=""1.2791e-02""","=""5.4857e-05""","=""-1.59206""",AA,"=""(767817000)""","=""(921342000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.065458""","=""0.000014""","=""""","=""152770000""","=""""","=""2.1807e+07""","=""1.4008e-01""","=""6.0375e-04""","=""-0.55259""",AA,"=""(768381000)""","=""(921150000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.076039""","=""0.000013""","=""""","=""131512000""","=""""","=""4.3432e+07""","=""5.6471e-01""","=""5.6546e-03""","=""0.35389""",AA,"=""(802732600)""","=""(934244100)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.077623""","=""0.000013""","=""""","=""128828000""","=""""","=""7.1540e+06""","=""6.4623e-02""","=""6.6057e-04""","=""-0.58755""",AA,"=""(802732600)""","=""(931560100)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.084310""","=""0.000021""","=""""","=""118610000""","=""""","=""7.8596e+06""","=""4.1878e-02""","=""4.6495e-04""","=""-0.77595""",AA,"=""(802732600)""","=""(921342000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Pa,91,"=""""","=""""","=""0.29111""","=""0.00003""","=""""","=""34352000""","=""""","=""7.3084e+05""","=""1.8570e-01""","=""3.5594e-03""","=""-0.43016""",AA,"=""(768381000)""","=""(802732600)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pa,89,"=""0.292535""","=""0.000034""","=""0.29253""","=""0.00003""","=""0.00000""","=""34184000""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""34184000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Pa,89,"=""4.482""","=""0.006""","=""4.482""","=""0.006""","="" 0.000""","=""2231000""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""2231000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Pa,91,"=""""","=""""","=""17.73""","=""0.13""","=""""","=""564000""","=""""","=""""","=""""","=""""","=""""",,"=""(767817000)""","=""(768381000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pa,2,"=""259.916""","=""""","=""""","=""""","=""""","=""38462.5""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""u2""",
