element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,2,"=""416.384""","=""""","=""416.38344+""","=""""","=""0.001""","=""24009.52""","=""2""","=""""","=""""","=""""","=""""",,"=""115092.012""","=""139101.568""","=""4s2.4p4.(3P).5s""","=""4P""","=""3/2""","=""4s2.4p4.(3P).5p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L8549""",
Kr,1,"=""416.448""","=""""","=""416.4442+""","=""""","=""0.004""","=""24005.83""","=""2""","=""""","=""""","=""""","=""""",,"=""85846.7046""","=""109852.76""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L7408""",
Kr,1,"=""416.728""","=""""","=""416.7325+""","=""""","=""-0.005""","=""23989.71""","=""5d*""","=""""","=""""","=""""","=""""",,"=""85846.7046""","=""109836.15""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L7408""",
Kr,1,"=""416.728""","=""""","=""416.7217+""","=""""","=""0.006""","=""23989.71""","=""5d*""","=""""","=""""","=""""","=""""",,"=""85846.7046""","=""109836.77""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L7408""",
Kr,3,"=""417.179""","=""""","=""417.1815+""","=""""","=""-0.002""","=""23963.77""","=""15""","=""""","=""""","=""""","=""""",,"=""151580.19""","=""175543.82""","=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""","=""4s2.4p3.(4S*).5p""","=""5P""","=""1""",3,3,,"=""""","=""L3356""",
Kr,2,"=""417.251""","=""""","=""417.2483+""","=""""","=""0.003""","=""23959.6""","=""20hl""","=""""","=""""","=""""","=""""",,"=""133923.859""","=""157883.65""","=""4s2.4p4.(3P).5p""","=""4P*""","=""5/2""","=""4s2.4p4.(3P).6s""","=""4P""","=""3/2""",6,4,,"=""""","=""L7386""",
Kr,1,"=""417.283""","=""""","=""417.27814+""","=""""","=""0.005""","=""23957.80""","=""3""","=""""","=""""","=""""","=""""",,"=""85191.6166""","=""109149.694""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",1,3,,"=""""","=""L7408""",
Kr,2,"=""417.958""","=""""","=""417.9580+""","=""""","=""0.000""","=""23919.1""","=""20Hl""","=""""","=""""","=""""","=""""",,"=""152190.13""","=""176109.24""","=""4s2.4p4.(1D).5p""","=""2D*""","=""3/2""","=""4s2.4p4.(1D).5d""","=""2D""","=""3/2""",4,4,,"=""""","=""L7386""",
Kr,4,"=""418.111""","=""""","=""418.112+""","=""""","=""-0.001""","=""23910.35""","=""6""","=""""","=""""","=""""","=""""",,"=""219988.5""","=""243898.8""","=""4s2.4p2.(3P).4d""","=""2F""","=""5/2""","=""4s2.4p2.(3P).5p""","=""2D*""","=""3/2""",6,4,,"=""""","=""L7257""",
Kr,1,"=""418.44726""","=""""","=""418.44705+""","=""""","=""0.00021""","=""23891.141""","=""20""","=""""","=""""","=""""","=""""",,"=""85191.6166""","=""109082.770""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",1,3,,"=""""","=""L7350""",
Kr,3,"=""418.459""","=""""","=""418.4641+""","=""""","=""-0.005""","=""23890.47""","=""2h""","=""""","=""""","=""""","=""""",,"=""188233.23""","=""212123.41""","=""4s2.4p3.(2P*).4d""","=""3D*""","=""1""","=""4s2.4p3.(2P*).5p""","=""1D""","=""2""",3,5,,"=""""","=""L3356""",
Kr,2,"=""418.511""","=""""","=""418.51138+""","=""""","="" 0.000""","=""23887.50""","=""50""","=""""","=""""","=""""","=""""",,"=""118474.359""","=""142361.840""","=""4s2.4p4.(3P).5s""","=""2P""","=""3/2""","=""4s2.4p4.(3P).5p""","=""2S*""","=""1/2""",4,2,,"=""""","=""L8549""",
Kr,3,"=""419.572""","=""""","=""419.5757+""","=""""","=""-0.004""","=""23827.10""","=""1""","=""""","=""""","=""""","=""""",,"=""192701.85""","=""216528.74""","=""4s2.4p3.(2D*).5p""","=""3F""","=""2""","=""4s2.4p3.(4S*).5d""","=""5D*""","=""2""",5,5,,"=""""","=""L7284""",
