element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rn,84,"=""""","=""""","=""0.01563970""","=""0.00000019""","=""""","=""639398000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(665764700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01570986""","=""0.00000019""","=""""","=""636543000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(662909100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Rn,86,"=""""","=""""","=""0.070671""","=""0.000003""","=""""","=""141501000""","=""""","=""3.4639e+07""","=""5.1873e-01""","=""2.4137e-03""","=""0.01597""",AA,"=""(675324200)""","=""(816825500)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.070869""","=""0.000005""","=""""","=""141106000""","=""""","=""9.7187e+06""","=""1.4635e-01""","=""6.8291e-04""","=""-0.53356""",AA,"=""(675732000)""","=""(816838000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.074803""","=""0.000006""","=""""","=""133684000""","=""""","=""1.5388e+06""","=""1.2908e-02""","=""6.3577e-05""","=""-1.58810""",AA,"=""(675324200)""","=""(809008000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.075111""","=""0.000010""","=""""","=""133137000""","=""""","=""1.6643e+07""","=""1.4077e-01""","=""6.9616e-04""","=""-0.55047""",AA,"=""(675732000)""","=""(808869000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.085527""","=""0.000004""","=""""","=""116923000""","=""""","=""3.4730e+07""","=""5.7130e-01""","=""6.4343e-03""","=""0.35892""",AA,"=""(702025200)""","=""(818947800)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.087108""","=""0.000004""","=""""","=""114800000""","=""""","=""5.7289e+06""","=""6.5169e-02""","=""7.4754e-04""","=""-0.58390""",AA,"=""(702025200)""","=""(816825500)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.093473""","=""0.000010""","=""""","=""106983000""","=""""","=""5.7269e+06""","=""3.7508e-02""","=""4.6168e-04""","=""-0.82382""",AA,"=""(702025200)""","=""(809008000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Rn,84,"=""0.379273""","=""0.000012""","=""0.379273""","=""0.000012""","="" 0.000000""","=""26366200""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""26366200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Rn,86,"=""""","=""""","=""0.380326""","=""0.000015""","=""""","=""26293200""","=""""","=""3.7753e+05""","=""1.6374e-01""","=""4.1003e-03""","=""-0.48481""",AA,"=""(675732000)""","=""(702025200)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rn,84,"=""4.9517""","=""0.0017""","=""4.9517""","=""0.0017""","="" 0.0000""","=""2019500""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""2019500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Rn,86,"=""""","=""""","=""24.52""","=""0.06""","=""""","=""407800""","=""""","=""""","=""""","=""""","=""""",,"=""(675324200)""","=""(675732000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
