element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1206000""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",5,5,,"=""""","=""L3160,L1992""",
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494262.57]""","=""1206000""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",5,3,,"=""""","=""L3160,L1992""",
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1206000""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",3,5,,"=""""","=""L3160,L1992""",
Li,2,"=""14.05""","=""14.05""","=""0.04""","="" 0.00""","=""712000""","=""*""","=""""","=""""","=""""","=""""",,"=""[494260.30]""","=""1206000""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",3,3,,"=""""","=""L3160,L1992""",
Li,2,"=""""","=""16.6343""","=""0.0008""","=""""","=""601170""","=""""","=""6.1947e+00""","=""7.7136e-03""","=""4.2253e-03""","=""-2.11275""",AAA,"=""0.0000""","=""[601169]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""16.721""","=""16.72419""","=""0.00014""","=""-0.003""","=""598100""","=""""","=""9.8247e+00""","=""1.2363e-02""","=""6.8081e-03""","=""-1.90787""",AAA,"=""0.0000""","=""[597936.4]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""16.725718""","=""0.000004""","=""""","=""597881.65""","=""""","=""1.6424e-04""","=""3.4441e-07""","=""9.5980e-03""","=""-6.4629""",AAA,"=""0.0000""","=""[597881.65]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""16.731850""","=""0.000003""","=""""","=""597662.53""","=""""","=""1.56e-08""","=""3.27e-11""","=""6.87e-02""","=""-10.49""",B,"=""0.0000""","=""[597662.53]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Li,2,"=""16.874""","=""16.87427""","=""0.00007""","="" 0.000""","=""592600""","=""""","=""1.6943e+01""","=""2.1697e-02""","=""1.2053e-02""","=""-1.6636""",AAA,"=""0.0000""","=""[592618.4]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""16.877251""","=""0.000004""","=""""","=""592513.56""","=""""","=""2.6846e-04""","=""5.7321e-07""","=""1.6412e-02""","=""-6.2417""",AAA,"=""0.0000""","=""[592513.56]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""16.888074""","=""0.000003""","=""""","=""592133.83""","=""""","=""2.78e-08""","=""5.94e-11""","=""1.28e-01""","=""-10.23""",B,"=""0.0000""","=""[592133.83]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Li,2,"=""17.158""","=""17.15747""","=""0.00004""","=""0.001""","=""582800""","=""""","=""3.2984e+01""","=""4.3672e-02""","=""2.4668e-02""","=""-1.35980""",AAA,"=""0.0000""","=""[582836.5]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""17.163549""","=""0.000004""","=""""","=""582630.08""","=""""","=""4.6897e-04""","=""1.0356e-06""","=""3.1185e-02""","=""-5.9848""",AAA,"=""0.0000""","=""[582630.08]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""17.185502""","=""0.000003""","=""""","=""581885.83""","=""""","=""5.33e-08""","=""1.18e-10""","=""2.68e-01""","=""-9.93""",B,"=""0.0000""","=""[581885.83]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Li,2,"=""17.802""","=""17.801451""","=""0.000005""","=""0.001""","=""561700""","=""""","=""7.7630e+01""","=""1.1065e-01""","=""6.4847e-02""","=""-0.95605""",AAA,"=""0.0000""","=""[561751.95]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""17.816650""","=""0.000003""","=""""","=""561272.75""","=""""","=""8.2665e-04""","=""1.9670e-06""","=""6.6255e-02""","=""-5.7062""",AAA,"=""0.0000""","=""[561272.75]""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Li,2,"=""""","=""17.87308""","=""0.00003""","=""""","=""559500.6""","=""""","=""1.20e-07""","=""2.87e-10""","=""7.34e-01""","=""-9.54""",B,"=""0.0000""","=""[559500.55]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
