element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
At,85,"=""""","=""""","=""0.087628""","=""0.000009""","=""""","=""114119000""","=""""","=""3.3159e+07""","=""5.7257e-01""","=""6.6070e-03""","=""0.35989""",AA,"=""(683126170)""","=""(797245310)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.089208""","=""0.000010""","=""""","=""112097000""","=""""","=""5.4711e+06""","=""6.5275e-02""","=""7.6681e-04""","=""-0.58319""",AA,"=""(683126170)""","=""(795223510)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
At,85,"=""""","=""""","=""0.095517""","=""0.000014""","=""""","=""104694000""","=""""","=""5.3679e+06""","=""3.6711e-02""","=""4.6175e-04""","=""-0.83315""",AA,"=""(683126170)""","=""(787820000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
At,83,"=""0.399751""","=""0.000030""","=""0.39975""","=""0.00003""","=""0.00000""","=""25015600""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""25015600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
At,85,"=""""","=""""","=""0.40157""","=""0.00003""","=""""","=""24902200""","=""""","=""3.3005e+05""","=""1.5958e-01""","=""4.2195e-03""","=""-0.49598""",AA,"=""(658224000)""","=""(683126170)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
At,83,"=""5.0434""","=""0.0046""","=""5.043""","=""0.005""","=""0.000""","=""1982800""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""1982800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
At,85,"=""""","=""""","=""26.43""","=""0.15""","=""""","=""378300""","=""""","=""""","=""""","=""""","=""""",,"=""(657845700)""","=""(658224000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
At,1,"=""216.225""","=""""","=""216.2250""","=""0.0019""","="" 0.000""","=""46233.6""","=""8""","=""""","=""""","=""""","=""""",,"=""0.0""","=""46233.6""","=""6p5""","=""2P*""","=""3/2""","=""6p4.(3P).7s""","=""4P""","=""3/2""",4,4,,"=""""","=""L3511""",
At,1,"=""224.401""","=""""","=""224.4008""","=""0.0020""","=""0.000""","=""44549.3""","=""10""","=""""","=""""","=""""","=""""",,"=""0.0""","=""44549.3""","=""6p5""","=""2P*""","=""3/2""","=""6p4.(3P).7s""","=""4P""","=""5/2""",4,6,,"=""""","=""L3511""",
