element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""0.000""","=""1236900""","=""*""","=""""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",4,4,,"=""""","=""L12158""",
Be,2,"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""0.000""","=""1236900""","=""*""","=""""","=""""","=""""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",2,4,,"=""""","=""L12158""",
Be,3,"=""8.189""","=""""","=""8.1890""","=""0.0004""","="" 0.000""","=""1221200""","=""5""","=""2.8405e+01""","=""8.5673e-03""","=""2.3097e-03""","=""-2.06716""",AAA,"=""0.000""","=""[1221148]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L1653""",
Be,3,"=""8.238""","=""""","=""8.2376""","=""0.0004""","=""0.000""","=""1213900""","=""10""","=""4.5108e+01""","=""1.3767e-02""","=""3.7336e-03""","=""-1.86115""",AAA,"=""0.000""","=""[1213944]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L1653""",
Be,2,"=""8.258""","=""0.003""","=""8.258""","=""0.003""","="" 0.000""","=""1210900""","=""a*""","=""""","=""""","=""""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""",
Be,2,"=""8.258""","=""0.003""","=""8.258""","=""0.003""","="" 0.000""","=""1210900""","=""a*""","=""""","=""""","=""""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""",
Be,3,"=""8.320""","=""""","=""8.319915""","=""0.000006""","=""0.000""","=""1201900""","=""20""","=""7.7965e+01""","=""2.4274e-02""","=""6.6490e-03""","=""-1.61485""",AAA,"=""0.000""","=""[1201935.30]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L1653""",
Be,3,"=""""","=""""","=""8.321238""","=""0.000021""","=""""","=""1201744""","=""""","=""2.9779e-03""","=""1.5457e-06""","=""5.3029e-03""","=""-5.8109""",AAA,"=""0.000""","=""[1201744.3]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Be,3,"=""""","=""""","=""8.325926""","=""0.000003""","=""""","=""1201067.6""","=""""","=""4.82e-07""","=""2.50e-10""","=""6.47e-02""","=""-9.60""",A,"=""0.000""","=""[1201067.60]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Be,2,"=""8.364""","=""0.003""","=""8.364""","=""0.003""","="" 0.000""","=""1195600""","=""a*""","=""""","=""""","=""""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L12158""",
Be,2,"=""8.364""","=""0.003""","=""8.364""","=""0.003""","="" 0.000""","=""1195600""","=""a*""","=""""","=""""","=""""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L12158""",
Be,3,"=""8.476""","=""""","=""8.475333""","=""0.000022""","=""0.001""","=""1179800""","=""30""","=""1.5237e+02""","=""4.9231e-02""","=""1.3737e-02""","=""-1.30776""",AAA,"=""0.000""","=""[1179894.7]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L1653""",
