element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cu,2,"=""532.4070""","=""0.0004""","=""532.40734""","=""0.00023""","=""-0.0003""","=""18777.398""","=""310""","=""""","=""""","=""""","=""""",,"=""135910.7245""","=""154688.112""","=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""2""","=""3d9.(2D<5/2>).7g""","=""2[3/2]""","=""2""",5,5,,"=""""","=""L869c171""",
Cu,2,"=""532.43542""","=""0.00021""","=""532.43531""","=""0.00006""","=""0.00011""","=""18776.397""","=""1500""","=""""","=""""","=""""","=""""",,"=""118142.950""","=""136919.3511""","=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""3d9.(2D<5/2>).5d""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L869c171""",
Cu,2,"=""532.5319""","=""0.0003""","=""532.53132""","=""0.00020""","=""0.0006""","=""18772.994""","=""310""","=""""","=""""","=""""","=""""",,"=""135933.89499""","=""154706.911""","=""3d9.(2D<5/2>).4f""","=""2[11/2]*""","=""5""","=""3d9.(2D<5/2>).7g""","=""2[11/2]""","=""5""",11,11,,"=""""","=""L869c171""",
Cu,2,"=""532.79841""","=""0.00023""","=""532.79842""","=""0.00023""","=""-0.00001""","=""18763.605""","=""920""","=""1.1e-01""","=""5.6e-02""","=""1.3e+01""","=""-0.14""",D+,"=""135931.01412""","=""154694.619""","=""3d9.(2D<5/2>).4f""","=""2[11/2]*""","=""6""","=""3d9.(2D<5/2>).7g""","=""2[13/2]""","=""7""",13,15,,"=""T9697""","=""L869c171""",
Cu,2,"=""532.88109""","=""0.00022""","=""532.88109""","=""0.00023""","=""0.00000""","=""18760.694""","=""1600""","=""1.1e-01""","=""5.7e-02""","=""1.1e+01""","=""-0.20""",D+,"=""135933.89499""","=""154694.589""","=""3d9.(2D<5/2>).4f""","=""2[11/2]*""","=""5""","=""3d9.(2D<5/2>).7g""","=""2[13/2]""","=""6""",11,13,,"=""T9697""","=""L869c171""",
Cu,2,"=""532.8963""","=""0.0004""","=""532.8963""","=""0.0004""","="" 0.0000""","=""18760.157""","=""460""","=""9.e-02""","=""5.6e-02""","=""4.9e+00""","=""-0.55""",D+,"=""138002.8856""","=""156763.044""","=""3d9.(2D<3/2>).4f""","=""2[3/2]*""","=""2""","=""3d9.(2D<3/2>).7g""","=""2[5/2]""","=""3""",5,7,,"=""T9697""","=""L869c171""",
Cu,2,"=""533.163""","=""0.004""","=""533.16093""","=""0.00020""","=""0.002""","=""18750.78""","=""150*""","=""""","=""""","=""""","=""""",,"=""136132.77781""","=""154883.625""","=""3d9.(2D<5/2>).4f""","=""2[7/2]*""","=""4""","=""3d9.(2D<5/2>).8d""","=""2[7/2]""","=""4""",9,9,,"=""""","=""L869c171,c172,c153""",
Cu,2,"=""533.163""","=""0.004""","=""533.1674""","=""0.0003""","=""-0.004""","=""18750.78""","=""150*""","=""""","=""""","=""""","=""""",,"=""110366.1542""","=""129116.774""","=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""3""",5,7,,"=""""","=""L869c171,c153""",
Cu,2,"=""533.5317""","=""0.0003""","=""533.53169""","=""0.00020""","=""0.0000""","=""18737.818""","=""300""","=""""","=""""","=""""","=""""",,"=""135958.1919""","=""154696.009""","=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""1""","=""3d9.(2D<5/2>).7g""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L1408c171,c172""",
Cu,2,"=""533.5518""","=""0.0003""","=""533.55179""","=""0.00006""","=""0.0000""","=""18737.112""","=""300""","=""""","=""""","=""""","=""""",,"=""69867.9849""","=""88605.096""","=""3d9.4p""","=""3F*""","=""2""","=""3d8.4s2""","=""3P""","=""1""",5,3,,"=""""","=""L869c171""",
Cu,2,"=""533.6203""","=""0.0003""","=""533.6203""","=""0.0003""","=""0.0000""","=""18734.707""","=""150""","=""""","=""""","=""""","=""""",,"=""138028.384""","=""156763.090""","=""3d9.(2D<3/2>).4f""","=""2[3/2]*""","=""1""","=""3d9.(2D<3/2>).7g""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L869c171""",
Cu,2,"=""533.7580""","=""0.0013""","=""533.75664""","=""0.00020""","=""0.0014""","=""18729.87""","=""150*""","=""""","=""""","=""""","=""""",,"=""135958.1919""","=""154688.112""","=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""1""","=""3d9.(2D<5/2>).7g""","=""2[3/2]""","=""2""",3,5,,"=""""","=""L869c171""",
Cu,2,"=""533.7580""","=""0.0013""","=""533.7593""","=""0.0003""","=""-0.0013""","=""18729.87""","=""150*""","=""""","=""""","=""""","=""""",,"=""135958.1919""","=""154688.020""","=""3d9.(2D<5/2>).4f""","=""2[3/2]*""","=""1""","=""3d9.(2D<5/2>).7g""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L869c171""",
