element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ar,2,"=""605.001""","=""0.002""","=""604.997388""","=""0.000015""","=""0.0036""","=""16524.32""","=""0.5h?*""","=""""","=""""","=""""","=""""",,"=""187589.3383""","=""204113.7598""","=""3s2.3p4.(3P).4d""","=""2F""","=""5/2""","=""3s2.3p4.(1D).5p""","=""2D*""","=""3/2""",6,4,,"=""""","=""L14821""",
Ar,2,"=""605.001""","=""0.002""","=""605.000778""","=""0.000015""","=""0.0002""","=""16524.32""","=""0.5h*""","=""""","=""""","=""""","=""""",,"=""185624.8282""","=""202149.1571""","=""3s2.3p4.(3P).4d""","=""4F""","=""7/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""5/2""",8,6,,"=""""","=""L14821""",
Ar,1,"=""605.2723""","=""""","=""605.27226""","=""""","=""0.0000""","=""16516.92""","=""10""","=""1.9e-03""","=""1.7e-03""","=""1.0e-01""","=""-2.28""",D+,"=""104102.0990""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",3,5,,"=""T1218n""","=""L2634""",
Ar,1,"=""605.9372""","=""""","=""605.93723""","=""""","="" 0.0000""","=""16498.79""","=""20""","=""4.2e-03""","=""3.9e-03""","=""2.3e-01""","=""-1.94""",C,"=""104102.0990""","=""120600.8905""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",3,5,,"=""T1218n,T1164n""","=""L2634""",
Ar,1,"=""""","=""""","=""606.47502""","=""""","=""""","=""16484.1613""","=""""","=""5.8e-04""","=""4.5e-04""","=""4.5e-02""","=""-2.65""",D,"=""107289.7001""","=""123773.8614""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",5,7,,"=""T1218n""","=""""",
Ar,2,"=""606.996""","=""0.002""","=""606.997684""","=""0.000015""","=""-0.0017""","=""16470.01""","=""0""","=""""","=""""","=""""","=""""",,"=""186074.4375""","=""202544.4050""","=""3s2.3p4.(3P).4d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""5/2""",6,6,,"=""""","=""L14821""",
Ar,2,"=""607.7431""","=""0.0008""","=""607.743032""","=""0.000015""","=""0.0001""","=""16449.77""","=""6""","=""4.e-03""","=""2.2e-03""","=""8.9e-02""","=""-2.35""",C,"=""139258.3389""","=""155708.1075""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""1/2""",2,2,,"=""T926""","=""L14821""",
Ar,1,"=""""","=""""","=""608.1244""","=""""","=""""","=""16439.453""","=""""","=""7.5e-04""","=""4.2e-04""","=""2.5e-02""","=""-2.90""",D,"=""107496.4166""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",3,3,,"=""T1218n""","=""""",
Ar,2,"=""608.3875""","=""0.0008""","=""608.38770""","=""0.00003""","=""-0.0002""","=""16432.34""","=""2""","=""""","=""""","=""""","=""""",,"=""192333.4986""","=""208765.8367""","=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""1/2""",2,2,,"=""""","=""L14821""",
Ar,2,"=""608.4507""","=""0.0008""","=""608.45152""","=""0.00003""","=""-0.0008""","=""16430.64""","=""2""","=""""","=""""","=""""","=""""",,"=""172335.5985""","=""188766.2129""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""",6,6,,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""608.5879""","=""""","=""""","=""16426.932""","=""""","=""9.0e-05""","=""5.0e-05""","=""3.0e-03""","=""-3.82""",,"=""106087.2598""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",3,3,,"=""T1218n""","=""""",
Ar,1,"=""""","=""""","=""609.07849""","=""""","=""""","=""16413.7013""","=""""","=""3.0e-03""","=""5.0e-03""","=""1.0e-01""","=""-2.30""",D,"=""107054.2720""","=""123467.9733""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",1,3,,"=""T1218n""","=""""",
Ar,1,"=""609.8803""","=""""","=""609.88031""","=""""","="" 0.0000""","=""16392.12""","=""7""","=""5.2e-03""","=""2.9e-03""","=""1.7e-01""","=""-2.06""",D+,"=""106087.2598""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",3,3,,"=""T1218n""","=""L2634""",
Ar,1,"=""""","=""""","=""610.1161""","=""""","=""""","=""16385.786""","=""""","=""3.3e-03""","=""1.8e-03""","=""1.1e-01""","=""-2.26""",D+,"=""107496.4166""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",3,3,,"=""T1218n""","=""""",
Ar,2,"=""610.19192""","=""0.00007""","=""610.19188""","=""0.00005""","=""0.00004""","=""16383.7512""","=""4""","=""""","=""""","=""""","=""""",,"=""179931.8393""","=""196315.5916""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""""","=""L2634""",
Ar,2,"=""610.2765""","=""0.0008""","=""610.274973""","=""0.000012""","=""0.0015""","=""16381.48""","=""1""","=""""","=""""","=""""","=""""",,"=""186816.0496""","=""203197.5711""","=""3s2.3p4.(3P).4d""","=""2F""","=""7/2""","=""3s2.3p4.(1D).5p""","=""2F*""","=""7/2""",8,8,,"=""""","=""L14821""",
Ar,2,"=""610.35397""","=""0.00005""","=""610.353914""","=""0.000015""","=""0.00006""","=""16379.4013""","=""26""","=""1.7e-02""","=""9.5e-03""","=""3.8e-01""","=""-1.72""",C,"=""144709.9818""","=""161089.3846""","=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2S*""","=""1/2""",2,2,,"=""T926""","=""L11520""",
