element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,2,"=""2103.2191""","=""0.0004""","=""2103.2194""","=""0.0013""","=""-0.0003""","=""4754.6163""","=""1""","=""""","=""""","=""""","=""""",,"=""105168.7704""","=""109923.386""","=""3d4.(5D).6s""","=""6D""","=""3/2""","=""3d4.(5D).6p""","=""6D*""","=""1/2""",4,2,,"=""""","=""L18847""",
Cr,1,"=""2107.766""","=""0.002""","=""2107.7656""","=""0.0003""","=""0.0004""","=""4744.360""","=""11""","=""""","=""""","=""""","=""""",,"=""28679.4239""","=""33423.7845""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""",3,3,,"=""""","=""L14866""",
Cr,1,"=""2109.0021""","=""0.0013""","=""2109.0019""","=""0.0003""","=""0.0002""","=""4741.579""","=""16""","=""""","=""""","=""""","=""""",,"=""28682.2050""","=""33423.7845""","=""3d5.(4D).4s""","=""a 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""",5,3,,"=""""","=""L14866""",
Cr,2,"=""2109.8572""","=""0.0006""","=""2109.8560""","=""0.0013""","=""0.0012""","=""4739.6573""","=""2""","=""""","=""""","=""""","=""""",,"=""105731.6360""","=""110471.296""","=""3d4.(a 3F).4d""","=""4D""","=""5/2""","=""3d4.(5D).6p""","=""4F*""","=""7/2""",6,8,,"=""""","=""L18847""",
Cr,2,"=""2111.4447""","=""0.0005""","=""2111.4455""","=""0.0013""","=""-0.0008""","=""4736.0938""","=""2""","=""""","=""""","=""""","=""""",,"=""111082.303""","=""115818.395""","=""3d4.(5D).6p""","=""4D*""","=""5/2""","=""3d4.(5D).7s""","=""4D""","=""5/2""",6,6,,"=""""","=""L18847""",
Cr,2,"=""2111.84054""","=""0.00009""","=""2111.8406""","=""0.0013""","="" 0.0000""","=""4735.2060""","=""10""","=""""","=""""","=""""","=""""",,"=""105650.5251""","=""110385.731""","=""3d4.(5D).6s""","=""6D""","=""9/2""","=""3d4.(5D).6p""","=""6D*""","=""9/2""",10,10,,"=""""","=""L18847""",
Cr,2,"=""2117.6598""","=""0.0002""","=""2117.6599""","=""0.0013""","=""-0.0001""","=""4722.1939""","=""3""","=""""","=""""","=""""","=""""",,"=""105285.3095""","=""110007.503""","=""3d4.(5D).6s""","=""6D""","=""5/2""","=""3d4.(5D).6p""","=""6D*""","=""3/2""",6,4,,"=""""","=""L18847""",
Cr,1,"=""2121.267""","=""0.003""","=""2121.2652""","=""0.0004""","=""0.002""","=""4714.164""","=""8""","=""""","=""""","=""""","=""""",,"=""30858.7516""","=""35572.9194""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6""","=""c 5D""","=""2""",5,5,,"=""""","=""L14866""",
Cr,2,"=""2131.65193""","=""0.00018""","=""2131.6520""","=""0.0014""","=""-0.0001""","=""4691.1974""","=""4""","=""""","=""""","=""""","=""""",,"=""105446.9938""","=""110138.191""","=""3d4.(5D).6s""","=""6D""","=""7/2""","=""3d4.(5D).6p""","=""6D*""","=""5/2""",8,6,,"=""""","=""L18847""",
Cr,1,"=""2135.671""","=""0.005""","=""2135.6711""","=""0.0008""","="" 0.000""","=""4682.369""","=""1""","=""""","=""""","=""""","=""""",,"=""20523.6290""","=""25205.9980""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""",9,7,,"=""""","=""L14866""",
