,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
4218,Ar,2,698.5708,1.0,0.0,None,True
4219,Ar,2,699.0122,5.0,0.6989700043360189,None,True
4221,Ar,2,700.144,0.0,-inf,.5,True
4224,Ar,1,703.0251,150.0,2.1760912590556813,None,True
4225,Ar,2,705.069,0.0,-inf,.5,True
4226,Ar,2,705.4993,3.0,0.47712125471966244,None,True
4227,Ar,1,706.7218,10000.0,4.0,None,True
4228,Ar,1,706.8736,100.0,2.0,None,True
4229,Ar,2,707.7024,5.0,0.6989700043360189,None,True
4231,Ar,2,709.056,1.0,0.0,None,True
4232,Ar,2,710.119,1.0,0.0,None,True
4233,Ar,2,710.311,0.0,-inf,.5,True
4234,Ar,1,710.7478,25.0,1.3979400086720377,None,True
4235,Ar,2,712.1737,6.0,0.7781512503836436,None,True
4236,Ar,1,712.582,25.0,1.3979400086720377,None,True
4239,Ar,1,714.7042,1000.0,3.0,None,True
4240,Ar,1,715.8839,15.0,1.1760912590556813,None,True
4244,Ar,2,718.2098,2.0,0.3010299956639812,None,True
4245,Ar,2,718.715,0.0,-inf,None,True
4246,Ar,1,720.698,70.0,1.845098040014257,None,True
4248,Ar,2,723.35341,23.0,1.3617278360175928,None,True
4251,Ar,2,724.945,0.0,-inf,.5,True
4254,Ar,1,726.5172,15.0,1.1760912590556813,None,True
4255,Ar,1,727.0664,7.0,0.8450980400142568,None,True
4256,Ar,1,727.2936,2000.0,3.3010299956639813,None,True
4257,Ar,2,728.0454,2.0,0.3010299956639812,None,True
4258,Ar,2,728.4232,7.0,0.8450980400142568,None,True
4260,Ar,2,729.815,0.0,-inf,.5,True
4261,Ar,1,731.1716,35.0,1.5440680443502757,None,True
4262,Ar,1,731.6005,25.0,1.3979400086720377,None,True
4264,Ar,2,734.80495,16.0,1.2041199826559248,None,True
4265,Ar,1,735.0814,5.0,0.6989700043360189,None,True
4267,Ar,1,735.3293,70.0,1.845098040014257,None,True
4268,Ar,2,735.518,2.0,0.3010299956639812,None,True
4269,Ar,2,735.8338,2.0,0.3010299956639812,None,True
4270,Ar,1,737.2118,200.0,2.3010299956639813,None,True
4271,Ar,2,738.04229,44.0,1.6434526764861874,None,True
4272,Ar,1,738.398,10000.0,4.0,None,True
4273,Ar,1,739.298,20.0,1.3010299956639813,None,True
4274,Ar,1,741.2337,15.0,1.1760912590556813,None,True
4275,Ar,2,741.9341,1.0,0.0,None,True
4277,Ar,1,742.5294,10.0,1.0,None,True
4278,Ar,2,742.8574,2.0,0.3010299956639812,None,True
4279,Ar,1,743.5368,25.0,1.3979400086720377,None,True
4280,Ar,1,743.6297,10.0,1.0,None,True
4281,Ar,2,744.0491,4.0,0.6020599913279624,None,True
4282,Ar,2,745.5996,2.0,0.3010299956639812,None,True
4285,Ar,1,750.3869,20000.0,4.301029995663981,None,True
4286,Ar,2,750.5153,1.0,0.0,None,True
4288,Ar,1,751.4652,15000.0,4.176091259055681,None,True
4289,Ar,2,758.93152,72.0,1.8573324964312685,None,True
4290,Ar,2,761.803,1.0,0.0,None,True
4293,Ar,1,763.5106,25000.0,4.3979400086720375,None,True
4294,Ar,2,765.4031,2.0,0.3010299956639812,None,True
4296,Ar,2,768.0948,2.0,0.3010299956639812,None,True
4297,Ar,2,768.149,1.0,0.0,None,True
4298,Ar,2,768.3458,1.0,0.0,None,True
4300,Ar,1,772.3761,15000.0,4.176091259055681,None,True
4301,Ar,1,772.4207,10000.0,4.0,None,True
4302,Ar,2,774.242,1.0,0.0,None,True
4305,Ar,2,775.328,1.0,0.0,None,True
4306,Ar,2,775.366,0.0,-inf,None,True
4307,Ar,2,775.7003,1.0,0.0,None,True
4308,Ar,2,779.541,2.0,0.3010299956639812,None,True
4310,Ar,2,780.2252,1.0,0.0,None,True
4311,Ar,2,783.777,0.0,-inf,None,True
4312,Ar,2,783.925,0.0,-inf,None,True
4313,Ar,2,784.6555,2.0,0.3010299956639812,None,True
4314,Ar,2,784.9409,9.0,0.9542425094393249,None,True
4316,Ar,1,789.1075,10.0,1.0,None,True
4317,Ar,2,789.467,0.0,-inf,.5,True
4318,Ar,2,790.477,2.0,0.3010299956639812,None,True
4319,Ar,2,791.5813,1.0,0.0,None,True
4321,Ar,2,792.735,2.0,0.3010299956639812,"h,p",True
4322,Ar,2,794.047,1.0,0.0,"bl,i",True
4323,Ar,2,794.351,0.0,-inf,.5,True
4324,Ar,1,794.8176,20000.0,4.301029995663981,None,True
4326,Ar,2,798.361,1.0,0.0,h,True
4327,Ar,2,799.29,1.0,0.0,None,True
4328,Ar,1,800.6157,20000.0,4.301029995663981,None,False
4329,Ar,1,801.4786,25000.0,4.3979400086720375,None,False
4331,Ar,2,801.7528,19.0,1.2787536009528289,None,False
4332,Ar,2,803.4625,1.0,0.0,None,False
4334,Ar,2,803.6857,8.0,0.9030899869919435,None,False
4336,Ar,2,804.376,0.0,-inf,.5h,False
4337,Ar,2,804.4308,2.0,0.3010299956639812,None,False
4339,Ar,1,805.3308,7.0,0.8450980400142568,None,False
4340,Ar,2,806.606,0.0,-inf,h?,False
4342,Ar,2,808.375,1.0,0.0,h,False
4343,Ar,2,808.613,0.0,-inf,?,False
4344,Ar,1,810.3693,20000.0,4.301029995663981,None,False
4345,Ar,2,810.36931,12023.0,4.080012847107928,"r,bl",False
4346,Ar,2,811.065,1.0,0.0,None,False
4347,Ar,1,811.5311,35000.0,4.544068044350276,None,False
4348,Ar,2,815.0647,1.0,0.0,None,False
4350,Ar,2,816.5405,3.0,0.47712125471966244,None,False
4351,Ar,2,818.279,0.0,-inf,None,False
4352,Ar,2,819.0258,1.0,0.0,None,False
4353,Ar,2,819.214,0.0,-inf,None,False
4355,Ar,2,821.7817,1.0,0.0,None,False
4356,Ar,2,825.9521,2.0,0.3010299956639812,None,False
4357,Ar,1,826.4522,10000.0,4.0,None,False
4358,Ar,2,829.6723,1.0,0.0,None,False
4359,Ar,2,832.7907,2.0,0.3010299956639812,None,False
4360,Ar,2,833.295,0.0,-inf,None,False
4361,Ar,2,833.8384,1.0,0.0,None,False
4363,Ar,2,834.263,1.0,0.0,None,False
4364,Ar,2,834.5183,2.0,0.3010299956639812,None,False
4365,Ar,2,834.642,1.0,0.0,None,False
4366,Ar,2,836.029,0.0,-inf,None,False
4367,Ar,2,836.3074,2.0,0.3010299956639812,None,False
4368,Ar,2,837.549,0.0,-inf,?*,False
4369,Ar,2,837.549,0.0,-inf,?*,False
4370,Ar,2,837.6079,2.0,0.3010299956639812,None,False
4372,Ar,1,839.227,20.0,1.3010299956639813,None,False
4373,Ar,2,839.5724,8.0,0.9030899869919435,None,False
4374,Ar,1,840.821,15000.0,4.176091259055681,None,False
4375,Ar,2,841.188,1.0,0.0,None,False
4376,Ar,2,841.573,7.0,0.8450980400142568,None,False
4377,Ar,1,842.4648,20000.0,4.301029995663981,None,False
