413.0,0.653243,0.346757,0.977743
413.1,0.652884,0.347115,0.978524
413.2,0.652525,0.347475,0.979299
413.3,0.652164,0.347836,0.980065
413.4,0.651802,0.348198,0.980824
413.5,0.651439,0.348561,0.981574
413.6,0.651075,0.348924,0.982315
413.7,0.650711,0.349289,0.983046
413.8,0.650346,0.349654,0.983767
413.9,0.649980,0.350019,0.984477
414.0,0.649615,0.350385,0.985176
414.1,0.649249,0.350751,0.985864
414.2,0.648883,0.351116,0.986539
414.3,0.648518,0.351482,0.987201
414.4,0.648153,0.351847,0.987850
414.5,0.647788,0.352212,0.988485
414.6,0.647424,0.352576,0.989106
414.7,0.647061,0.352939,0.989712
414.8,0.646698,0.353301,0.990302
414.9,0.646337,0.353663,0.990877
415.0,0.645977,0.354023,0.991435
415.1,0.645618,0.354381,0.991976
415.2,0.645261,0.354739,0.992501
415.3,0.644904,0.355095,0.993008
415.4,0.644549,0.355451,0.993498
415.5,0.644195,0.355805,0.993970
415.6,0.643841,0.356158,0.994425
415.7,0.643489,0.356511,0.994863
415.8,0.643137,0.356863,0.995284
415.9,0.642786,0.357214,0.995687
416.0,0.642435,0.357564,0.996072
416.1,0.642085,0.357915,0.996440
416.2,0.641735,0.358264,0.996790
416.3,0.641385,0.358614,0.997123
416.4,0.641036,0.358964,0.997437
416.5,0.640687,0.359313,0.997734
416.6,0.640337,0.359662,0.998013
416.7,0.639988,0.360012,0.998274
416.8,0.639638,0.360361,0.998516
416.9,0.639288,0.360711,0.998741
417.0,0.638938,0.361062,0.998947
417.1,0.638587,0.361413,0.999135
417.2,0.638235,0.361764,0.999305
417.3,0.637883,0.362116,0.999456
417.4,0.637530,0.362469,0.999590
417.5,0.637177,0.362823,0.999704
417.6,0.636822,0.363177,0.999800
417.7,0.636466,0.363533,0.999877
417.8,0.636110,0.363890,0.999936
417.9,0.635751,0.364248,0.999976
418.0,0.635392,0.364608,0.999998
418.1,0.635031,0.364968,1.000000
418.2,0.634669,0.365331,0.999984
418.3,0.634305,0.365695,0.999948
418.4,0.633939,0.366061,0.999894
418.5,0.633572,0.366428,0.999820
418.6,0.633202,0.366797,0.999728
418.7,0.632831,0.367169,0.999616
418.8,0.632457,0.367542,0.999485
418.9,0.632082,0.367918,0.999335
419.0,0.631704,0.368296,0.999166
419.1,0.631323,0.368676,0.998977
419.2,0.630940,0.369059,0.998769
419.3,0.630555,0.369445,0.998541
419.4,0.630167,0.369833,0.998294
419.5,0.629776,0.370224,0.998028
419.6,0.629382,0.370617,0.997741
419.7,0.628985,0.371014,0.997435
419.8,0.628586,0.371414,0.997110
419.9,0.628183,0.371817,0.996764
420.0,0.627777,0.372223,0.996399
420.1,0.627367,0.372632,0.996014
420.2,0.626954,0.373045,0.995610
420.3,0.626538,0.373461,0.995186
420.4,0.626120,0.373880,0.994743
420.5,0.625698,0.374302,0.994282
420.6,0.625273,0.374726,0.993802
420.7,0.624846,0.375154,0.993305
420.8,0.624416,0.375583,0.992790
420.9,0.623984,0.376015,0.992257
421.0,0.623550,0.376450,0.991708
421.1,0.623113,0.376887,0.991141
421.2,0.622674,0.377325,0.990559
421.3,0.622234,0.377766,0.989960
421.4,0.621791,0.378208,0.989345
421.5,0.621347,0.378653,0.988716
421.6,0.620901,0.379098,0.988071
421.7,0.620454,0.379546,0.987411
421.8,0.620005,0.379994,0.986737
421.9,0.619555,0.380444,0.986048
422.0,0.619105,0.380895,0.985346
422.1,0.618653,0.381347,0.984631
422.2,0.618200,0.381800,0.983902
422.3,0.617746,0.382253,0.983160
422.4,0.617292,0.382707,0.982406
422.5,0.616837,0.383162,0.981640
422.6,0.616382,0.383617,0.980862
422.7,0.615927,0.384072,0.980073
422.8,0.615472,0.384528,0.979272
422.9,0.615016,0.384983,0.978461
423.0,0.614561,0.385439,0.977639
423.1,0.614106,0.385894,0.976806
423.2,0.613651,0.386349,0.975964
423.3,0.613197,0.386803,0.975113
423.4,0.612743,0.387257,0.974252
423.5,0.612290,0.387709,0.973383
423.6,0.611838,0.388162,0.972505
423.7,0.611387,0.388613,0.971618
423.8,0.610937,0.389063,0.970724
423.9,0.610488,0.389512,0.969823
424.0,0.610041,0.389959,0.968914
424.1,0.609595,0.390405,0.967998
424.2,0.609150,0.390849,0.967076
424.3,0.608707,0.391292,0.966148
424.4,0.608267,0.391733,0.965214
424.5,0.607828,0.392172,0.964274
424.6,0.607391,0.392608,0.963329
424.7,0.606957,0.393043,0.962379
424.8,0.606524,0.393475,0.961425
424.9,0.606095,0.393905,0.960466
425.0,0.605668,0.394332,0.959504
425.1,0.605243,0.394756,0.958538
425.2,0.604821,0.395178,0.957568
425.3,0.604402,0.395597,0.956593
425.4,0.603986,0.396014,0.955614
425.5,0.603571,0.396428,0.954630
425.6,0.603159,0.396840,0.953640
425.7,0.602749,0.397250,0.952644
425.8,0.602342,0.397658,0.951641
425.9,0.601936,0.398064,0.950632
426.0,0.601532,0.398468,0.949615
